SequenceName	SequenceRole	AssignedMolecule	GenBankAccn	Relationship	RefSeqAccn	AssemblyUnit	SequenceLength	UCSCStyleName	circular
HSCHR4_1_CTG6	novel-patch	4	GL383528.1	=	NW_003315915.1	PATCHES	376187	NA	FALSE
HSCHR4_2_CTG9	novel-patch	4	GL383529.1	=	NW_003315916.1	PATCHES	121345	NA	FALSE
HSCHR5_1_CTG1	novel-patch	5	GL339449.2	=	NW_003315917.2	PATCHES	1612928	NA	FALSE
HSCHR5_1_CTG2	novel-patch	5	GL383530.1	=	NW_003315918.1	PATCHES	101241	NA	FALSE
HSCHR5_1_CTG5	novel-patch	5	GL383531.1	=	NW_003315919.1	PATCHES	173459	NA	FALSE
HSCHR5_2_CTG1	novel-patch	5	GL383532.1	=	NW_003315920.1	PATCHES	82728	NA	FALSE
HSCHR5_3_CTG1	novel-patch	5	GL949742.1	=	NW_003571036.1	PATCHES	226852	NA	FALSE
HSCHR6_1_CTG5	novel-patch	6	GL383533.1	=	NW_003315921.1	PATCHES	124736	NA	FALSE
HSCHR6_2_CTG5	novel-patch	6	KB021644.1	=	NW_004166862.1	PATCHES	187824	NA	FALSE
HSCHR7_1_CTG6	novel-patch	7	GL383534.2	=	NW_003315922.2	PATCHES	119183	NA	FALSE
HSCHR9_1_CTG1	novel-patch	9	GL383539.1	=	NW_003315928.1	PATCHES	162988	NA	FALSE
HSCHR9_1_CTG35	novel-patch	9	GL383540.1	=	NW_003315929.1	PATCHES	71551	NA	FALSE
HSCHR9_2_CTG35	novel-patch	9	GL383541.1	=	NW_003315930.1	PATCHES	171286	NA	FALSE
HSCHR9_3_CTG35	novel-patch	9	GL383542.1	=	NW_003315931.1	PATCHES	60032	NA	FALSE
HSCHR10_1_CTG2	novel-patch	10	GL383545.1	=	NW_003315934.1	PATCHES	179254	NA	FALSE
HSCHR10_1_CTG5	novel-patch	10	GL383546.1	=	NW_003315935.1	PATCHES	309802	NA	FALSE
HSCHR11_1_CTG1_1	novel-patch	11	GL383547.1	=	NW_003315936.1	PATCHES	154407	NA	FALSE
HG142_HG150_NOVEL_TEST	novel-patch	11	JH159136.1	=	NW_003871073.1	PATCHES	200998	NA	FALSE
HG151_NOVEL_TEST	novel-patch	11	JH159137.1	=	NW_003871074.1	PATCHES	191409	NA	FALSE
HSCHR12_1_CTG2	novel-patch	12	GL383549.1	=	NW_003315938.1	PATCHES	120804	NA	FALSE
HSCHR12_1_CTG2_1	novel-patch	12	GL383550.1	=	NW_003315939.1	PATCHES	169178	NA	FALSE
HSCHR12_1_CTG5	novel-patch	12	GL383551.1	=	NW_003315940.1	PATCHES	184319	NA	FALSE
HSCHR12_2_CTG2_1	novel-patch	12	GL383552.1	=	NW_003315941.1	PATCHES	138655	NA	FALSE
HSCHR12_3_CTG2_1	novel-patch	12	GL383553.2	=	NW_003315942.2	PATCHES	152874	NA	FALSE
HSCHR12_1_CTG1	novel-patch	12	GL877875.1	=	NW_003571049.1	PATCHES	167313	NA	FALSE
HSCHR12_2_CTG2	novel-patch	12	GL877876.1	=	NW_003571050.1	PATCHES	408271	NA	FALSE
HG1133_PATCH	novel-patch	12	GL949745.1	=	NW_003571047.1	PATCHES	372609	NA	FALSE
HSCHR15_1_CTG4	novel-patch	15	GL383554.1	=	NW_003315943.1	PATCHES	296527	NA	FALSE
HSCHR15_1_CTG8	novel-patch	15	GL383555.1	=	NW_003315944.1	PATCHES	388773	NA	FALSE
HSCHR16_1_CTG3_1	novel-patch	16	GL383556.1	=	NW_003315945.1	PATCHES	192462	NA	FALSE
HSCHR16_2_CTG3_1	novel-patch	16	GL383557.1	=	NW_003315946.1	PATCHES	89672	NA	FALSE
HSCHR17_1_CTG1	novel-patch	17	GL383563.2	=	NW_003315952.2	PATCHES	270261	NA	FALSE
HSCHR17_1_CTG4	novel-patch	17	GL383564.1	=	NW_003315953.1	PATCHES	133151	NA	FALSE
HSCHR17_2_CTG4	novel-patch	17	GL383565.1	=	NW_003315954.1	PATCHES	223995	NA	FALSE
HSCHR17_3_CTG4	novel-patch	17	GL383566.1	=	NW_003315955.1	PATCHES	90219	NA	FALSE
HSCHR17_4_CTG4	novel-patch	17	JH159146.1	=	NW_003871091.1	PATCHES	278131	NA	FALSE
HSCHR17_5_CTG4	novel-patch	17	JH159147.1	=	NW_003871092.1	PATCHES	70345	NA	FALSE
HSCHR17_6_CTG4	novel-patch	17	JH159148.1	=	NW_003871093.1	PATCHES	88070	NA	FALSE
HSCHR18_1_CTG1_1	novel-patch	18	GL383567.1	=	NW_003315956.1	PATCHES	289831	NA	FALSE
HSCHR18_1_CTG2	novel-patch	18	GL383568.1	=	NW_003315957.1	PATCHES	104552	NA	FALSE
HSCHR18_1_CTG2_1	novel-patch	18	GL383569.1	=	NW_003315958.1	PATCHES	167950	NA	FALSE
HSCHR18_2_CTG1_1	novel-patch	18	GL383570.1	=	NW_003315959.1	PATCHES	164789	NA	FALSE
HSCHR18_2_CTG2	novel-patch	18	GL383571.1	=	NW_003315960.1	PATCHES	198278	NA	FALSE
HSCHR18_2_CTG2_1	novel-patch	18	GL383572.1	=	NW_003315961.1	PATCHES	159547	NA	FALSE
HSCHR19_1_CTG3	novel-patch	19	GL383573.1	=	NW_003315962.1	PATCHES	385657	NA	FALSE
HSCHR19_1_CTG3_1	novel-patch	19	GL383574.1	=	NW_003315963.1	PATCHES	155864	NA	FALSE
HSCHR19_2_CTG3	novel-patch	19	GL383575.2	=	NW_003315964.2	PATCHES	170222	NA	FALSE
HSCHR19_3_CTG3	novel-patch	19	GL383576.1	=	NW_003315965.1	PATCHES	188024	NA	FALSE
HSCHR19LRC_COX1_CTG1	novel-patch	19	GL949746.1	=	NW_003571054.1	PATCHES	987716	NA	FALSE
HSCHR19LRC_COX2_CTG1	novel-patch	19	GL949747.1	=	NW_003571055.1	PATCHES	729519	NA	FALSE
HSCHR19LRC_LRC_I_CTG1	novel-patch	19	GL949748.1	=	NW_003571056.1	PATCHES	1064303	NA	FALSE
HSCHR19LRC_LRC_J_CTG1	novel-patch	19	GL949749.1	=	NW_003571057.1	PATCHES	1091840	NA	FALSE
HSCHR19LRC_LRC_S_CTG1	novel-patch	19	GL949750.1	=	NW_003571058.1	PATCHES	1066389	NA	FALSE
HSCHR19LRC_LRC_T_CTG1	novel-patch	19	GL949751.1	=	NW_003571059.1	PATCHES	1002682	NA	FALSE
HSCHR19LRC_PGF1_CTG1	novel-patch	19	GL949752.1	=	NW_003571060.1	PATCHES	987100	NA	FALSE
HSCHR19LRC_PGF2_CTG1	novel-patch	19	GL949753.1	=	NW_003571061.1	PATCHES	796478	NA	FALSE
HSCHR20_1_CTG1	novel-patch	20	GL383577.1	=	NW_003315966.1	PATCHES	128385	NA	FALSE
HSCHR21_1_CTG1_1	novel-patch	21	GL383578.1	=	NW_003315967.1	PATCHES	63917	NA	FALSE
HSCHR21_2_CTG1_1	novel-patch	21	GL383579.1	=	NW_003315968.1	PATCHES	201198	NA	FALSE
HSCHR21_3_CTG1_1	novel-patch	21	GL383580.1	=	NW_003315969.1	PATCHES	74652	NA	FALSE
HSCHR21_4_CTG1_1	novel-patch	21	GL383581.1	=	NW_003315970.1	PATCHES	116690	NA	FALSE
HSCHR22_1_CTG1	novel-patch	22	GL383582.2	=	NW_003315971.2	PATCHES	162811	NA	FALSE
HSCHR22_1_CTG2	novel-patch	22	GL383583.1	=	NW_003315972.1	PATCHES	96924	NA	FALSE
HSCHR22_2_CTG1	novel-patch	22	KB663609.1	=	NW_004504305.1	PATCHES	74013	NA	FALSE
